Denominazione,Latitudine,Longitudine,Indirizzo,Comune,Tipologia
Municipio,41.9635070050209,12.7987559957008,"Piazza del Governo, 1",Tivoli,
"Istituto ""Baffi""",41.7642266043356,12.2287682872193,"Via Giorgio de Giorgis, 125",Fiumicino,Pubblici
"Istituto ""Baffi""",41.756993363237,12.2359303650818,"Via L. Bezzi, 51",Fiumicino,Pubblici
"Centro Anziani Tosti",41.6893595,12.7839855,"Via dei Volsci, 8",Velletri,Pubblici
"Istituto Comprensivo",42.1570406528851,11.907617974205,"Via Del Faggeto, 1",Allumiere,
"Centro Polifunzionale per i Giovani",42.3278652785142,13.4775991302572,"Via Geremia Properzi",L'Aquila,Pubblici
"Centro Polifunzionale per i Giovani",42.3278646,13.477611,"Via Geremia Properzi",L'Aquila,Pubblici
"Istituto ""Croce-Aleramo""",41.9279137,12.5746282,"Via S. Cannizzaro, 16",Roma,Pubblici
"Roma - Sede Municipio VIII",41.8609205327249,12.4861819920307,"Largo delle Sette Chiese, 23",Roma,
"Istituto ""Emilio Sereni""",41.8918491751499,12.6513563508179,"Via Prenestina, 1395",Roma,Pubblici
"""Istituto Cattaneo""",41.8288333,12.4918414,"Via Antonio Pisano, 9",Roma,
"Villa Torlonia - Centro Anziani",41.9111399716896,12.5125660142639,"Via Lorenzo Spallanzani, 1",Roma,Pubblici
"Biblioteca Comunale",41.7304635921085,13.0073027582275,"Via Leonardo da Vinci",Colleferro,
"Centro Anziani",42.1292462,12.1285444,"Largo IV Novembre, 6","Canale Monterano",
"Istituto ""Pellegrino Artusi""",41.8436913737068,12.5470071865082,"via san tarcisio 66",Roma,Pubblici
"Istituto ""Tor Carbone""",41.8124229137892,12.468811219574,"piazza elsa morante 2",Roma,Pubblici
"Istituto ""Montale""",41.8643227,12.4609605000001,"via ettore paladini 6",Roma,Pubblici
"Istituto ""John Fitzgerald Kennedy""",41.8865466,12.4651433,"via nicola fabrizi 7",Roma,Pubblici
"Università Roma TRE",41.8620331661985,12.4796737516767,"Via ostiense,169",Roma,Pubblici
"Cafè Gourmet",41.9095578,12.4512735000001,"Via Andrea Doria,46",Roma,
"Istituto ""Vittorio Gassman""",41.9080744,12.3978002,"Via Tommaso Prelà",Roma,Pubblici
"Istituto ""Bachelet-Einstein""",41.9066079576016,12.4045601494597,"Via Nazareth, 150",Roma,Pubblici
"Istituto ""TOR CARBONE""",41.8325717478464,12.5353762876969,"Via di Tor Carbone 53",Roma,Privati
"Ristorante Villa Celeste",42.059331,12.9996568,"Via Valeria, 146",Riofreddo,
"Green Bar",41.9098869374481,12.4492584693116,"Via Circonvallazione Trionfale ,4",Roma,Privati
"Parco Appia Antica",41.8701925640799,12.5244511,"Via di Vigna Fabbri",Roma,Pubblici
" Residenza Anziani Santa Lucia",42.1957735,12.5809829,"SSP Civitellese, KM  5.700","Civitella San Paolo",Pubblici
Onlus,41.9131953070236,12.504543582209,"Via Alessandria, 159",Roma,Pubblici
"
I.P.S.S.A.R. Ugo Tognazzi",41.6757619728476,12.7761404232788,"Viale salvo D'acquisto, 61",Velletri,Pubblici
"Biblioteca Comunale",41.9062483279943,12.9582385883606,"Via Piagge",Pisoniano,Pubblici
"IFO Istituti Fisioterapici Ospitalieri",41.8023137044,12.4498586306885,"Via Elio Chianesi, 53",Roma,Pubblici
"Villa Lazzaroni - Municipio",41.871068875573,12.5233800349182,"Via Tommaso Fortifiocca, 71",Roma,Pubblici
"Istituto ""Calamandrei""",41.9807624,12.4939428,"via carlo emery 97",Roma,Pubblici
"Istituto ""Stendhal""",41.9417132,12.4655564,"via cassia 726",Roma,Pubblici
"Istituto ""Domizia Lucilla""",41.9066214,12.4410525000001,"via domizia lucilla 76",Roma,Pubblici
"Istituto ""Einaudi""",41.8979105106069,12.4560215214785,"via santa maria alle fornaci 1",Roma,Pubblici
"Istituto ""Magarotto""",41.874232,12.3635439,"vicolo del casal lumbroso 129",Roma,Pubblici
"istituto ""Manara""",41.885162,12.4575105,"via basilio bricci 4",Roma,Pubblici
"IFO Istituti Fisioterapici Ospitalieri",41.80223372634,12.4493221888856,"Via Elio Chianesi, 53",Roma,
Comune,41.8872664975979,12.8934203061342,"Piazza Conti, 2",Poli,Pubblici
"Protezione Civile",41.887265,12.8934062245369,"Piazza Conti, 2",Poli,Pubblici
"Università Bracciano",42.1040613406987,12.1771663146804,"Piazza Mazzini",Bracciano,
Comune,41.9267561775527,13.2309270000001,"Piazza Italia, 1",Vallepietra,Pubblici
Spallanzani,41.8647134718138,12.4573653915405,"Via Portuense, 292",Roma,
"Centro per l'Impiego",41.729249,12.6611867,"Via San Francesco d'Assisi, 28 ","Albano Laziale",
"Castello Miramare",41.8751243041854,12.1777617548352,"Via Praia a Mare, 10",Fiumicino,Privati
Municipio,41.7197084445842,12.6703629043853,"Piazza San Nicola",Ariccia,Pubblici
Municipio,41.7197925296124,12.670486286,"Piazza San Nicola",Ariccia,Pubblici
Giardini,41.9164422382441,12.4640050380287,"Piazza Mazzini",Roma,Pubblici
"Scuola Oberdan",41.871708767405,12.4511386153442,"Largo Alessandrina Ravizza, 2",Roma,Pubblici
"Istituto Comprensivo La Giostra",41.8378076883271,12.5079815841309,"Via Grotta Perfetta, 524",Roma,Pubblici
"Istituto comprensivo La Giostra",41.8405698,12.501583,"Via Di grotta Perfetta, 524",Roma,Pubblici
"Viale Agosta",41.8908880729675,12.5578654600495,"Viale Agosta",Roma,Pubblici
"Comune ",41.7718537,12.2313854,"Piazza Grassi, 3",Fiumicino,Pubblici
Comune,41.7720271,12.236330817791,"Via Portuense, 2498",Fiumicino,Pubblici
"Auditorium della Conciliazione",41.9025688631914,12.4633103220901,"Via della Conciliazione, 4",Roma,
"Centro Anziani",41.6079691,12.5432585999999,"Via Dei tassi, 18",Ardea,Pubblici
Anagrafe,41.6104947,12.5461163,"Via della Croce, 3",Ardea,Pubblici
"Istituto ""Innocenzo XII"" (succursale)",41.4623648396436,12.6240123730164,"Via Nerone, 1",Anzio,Pubblici
Comune,41.60919,12.5452398,"Via Garibaldi, 5",Ardea,Pubblici
"Distaccamento Polizia locale",41.5628458,12.5585873,"Via Campo Di Carne",Ardea,Pubblici
"Scuola Elementare ""Innocenzo III""",41.6992397,13.0509211999999,"Via Roma, 73",Gavignano,Pubblici
"Centro Polivalente Anziani - Quartiere Empolitano",41.9566459,12.8024685,"Via degli Olivi, 2",Tivoli,Pubblici
"Stabilimento balneare ""Belvedere"" (Lavinio)",41.4930353,12.5871795,"Passeggiata delle Sirene, 28",Anzio,
"Palazzo Valentini",41.8963843,12.4840371,"Via Quattro Novembre, 119 ",Roma,
"Centro per l'impiego",42.0925063557592,11.8064705158691,"Via Lepanto 13",Civitavecchia,
"Ufficio Contact Center",41.7441181482013,12.9995929529869,"Via Casilina km52,200",Colleferro,Pubblici
"Sede Centrale Municipio XV",41.8490650329906,12.4521505705696,"Via Camillo Montalcini, 1",Roma,Pubblici
"Case Grifoni",41.9987306849466,12.0996856883432,"Piazza santa Maria, 6",Cerveteri,Pubblici
"Villa Borghese - Casino del Graziano",41.9170279,12.4868918,"Viale Giardino Zoologico",Roma,Pubblici
"Villa Borghese - Aranciera - Museo Carlo Bilotti",41.913335284388,12.4827801563446,"Viale Fiorello La Guardia, 6",Roma,Pubblici
"Villa Borghese - Aranciera - Museo Carlo Bilotti",41.9133193165286,12.4835258104507,"viale Fiorello La Guardia 6",Roma,Pubblici
"Villa Borghese - Meridiana",41.9149677,12.4905467,"Viale dell'Uccelleria ",Roma,Pubblici
"Villa Borghese - Meridiana",41.9149397569581,12.4906110730163,"Viale dell'Uccelleria",Roma,Pubblici
"Villa Borghese - Museo Canonica",41.9142202,12.486271,"Viale Pietro Canonica",Roma,Pubblici
"Villa Borghese - Museo Canonica",41.9141563294239,12.4862106502972,"Viale Pietro Canonica",Roma,Pubblici
"Villa Borghese - Museo Canonica",41.9143160057443,12.4863568306885,"Viale Pietro Canonica",Roma,Pubblici
"Villa Borghese - Casina Valadier",41.910774266153,12.4796594380286,"Piazza Bucarest",Roma,Pubblici
"Villa Ada - Servizio Giardini",41.9138395623677,12.4975230718277,"Via Salaria",Roma,Pubblici
"Villa Ada - Servizio Giardini",41.9139090060537,12.4974970411045,"Via Salaria",Roma,Pubblici
"Villa Torlonia - Casina delle civette",41.9176658,12.5137708,"Via Nomentana",Roma,Pubblici
"Villa Torlonia - Technotown",41.9123092,12.5109089,"Via Spallanzani",Roma,Pubblici
"Villa Torlonia - Technotown",41.9107144970481,12.5128600116568,"Via Spallanzani",Roma,Pubblici
"Villa Paganini",41.9167874,12.5094183,"Viale Marco Biagi",Roma,Pubblici
"Villa Paganini",41.9167854041258,12.5094290288362,"Viale Marco Biagi",Roma,Pubblici
"Torre Argentina - Largo Arenula",41.8951165,12.4763044,"Largo Arenula",Roma,Pubblici
"Villa Borghese - Casa del Cinema",41.9106701,12.4879182,"Viale della pineta",Roma,Pubblici
"Villa Borghese - Casa del Cinema",41.9106701,12.4878860134918,"Viale della pineta",Roma,Pubblici
"Villa Borghese - Casa del Cinema",41.9107180055545,12.4879396576721,"Viale della Pineta",Roma,Pubblici
"Villa Borghese - Casina Valadier",41.9107483173383,12.4797948895839,"Piazza Bucarest",Roma,Pubblici
"Villa Borghese - Casina Valadier",41.9107064,12.4797103999999,"Piazza Bucarest",Roma,Pubblici
"Parco Franceschetti - ""Giardino dei Demar""",41.8858038207787,12.5881801,"Via Davide Campari, 263",Roma,Pubblici
"Istituto ""Galileo Galilei""",42.1009575646468,11.7990221005249,"Via Immacolata 4",Civitavecchia,
"Istituto ""Marconi""",42.0875844546202,11.8108054810898,"Via Ciro Corradetti 2",Civitavecchia,Pubblici
"Stabilimento Balneare Sporting Beach",41.7040613415528,12.3416654386231,"Lungomare Amerigo Vespucci, 8",Roma,Pubblici
"Stabilimento Balneare Sporting Beach",41.7085147766291,12.3313657560059,"Lungomare Amerigo Vespucci, 8",Roma,Pubblici
"Istituto ""Paciolo""",42.1013458,12.1696434,"Via Piave 22",Bracciano,
"Istituto ""Ignazio Vian""",42.1014954074435,12.1659927210876,"Largo Cesare Pavese 1",Bracciano,
"Istituto ""Paciolo""",42.098938,12.1598707000001,"Via del Lecci 22",Bracciano,
"Istituto ""Guglielmotti""",42.085335,11.8079396000001,"Via Adige 1",Civitavecchia,
"Istituto ""Calamatta""",42.0951004,11.7923624,"Via Antonio da Sangallo 3",Civitavecchia,
"Parco Torresina - Associazione Vivere al Quartaccio",41.9253821,12.4020386,"Via del Podere Fiume, 61",Roma,Pubblici
"Istituto ""Giuseppe Di Vittorio""",41.9597269,12.0717488,"Via Federici",Ladispoli,
"Istituto ""Luigi Trafelli""",41.4594617,12.6518587,"Via Livatino,1",Nettuno,
"Istituto ""Loi""",41.4577305,12.6654914000001,"Vie Emanuela Loi,6",Nettuno,
"Villa Chigi asilo nido ""Nido di Villa Chigi""",41.9343388870408,12.5167625817535,"via Nicolo Piccinni, 60",Roma,Pubblici
"Istituto ""Chris Cappel College""",41.4621364,12.6267476,"Via Antium,5",Anzio,
"Scuola Primaria ""Cesare Battisti""",41.8616535,12.4888039,"Piazza Damiano Sauli, 1",Roma,Pubblici
"Centro Aggregazione M.P.R.",41.8912559669493,12.5276040951065,"Via Prenestina, 106",Roma,Pubblici
"Istituto ""George Boole"" ex Cartesio",41.8241623,12.9654075999999,"via Pietro Nenni ",Genazzano,Pubblici
"Istituto ""Marco Gavio Apicio""",41.4495955,12.6197253,"via nerone 1",Anzio,
"Istituto ""Largo Brodolini""",41.6574219048564,12.4993302037049,"Largo Brodolini ",Pomezia,Pubblici
"Istituto ""Aristofane""",41.9526486223286,12.5314626216737,"Via Monte Resegone 3",Roma,Pubblici
"Villa Altieri",41.8909941741407,12.507649427539,"Viale Manzoni 47",Roma,
"Istituto ""Nomentano""",41.9517426631819,12.5423987502929,"Via della Bufalotta 229",Roma,
Auditorium,41.6086002245613,13.0821906000001,"Piazzale Dei Carpini","Carpineto Romano",Pubblici
Auditorium,41.6086644,13.0821906,"Piazzale Dei Carpini","Carpineto Romano",Pubblici
Auditorium,41.608616268427,13.0822764306885,"Piazzale dei Carpini, 41","Carpineto Romano",Pubblici
"Scuola Infanzia e Primaria Taddeide",42.100538939531,12.5061858404755,"Via Taddeide",Riano,
"Scuola Aldo Moro",41.8739152063028,13.0677366332741,"Largo Don Umberto Terenzi",Roiate,
"Istituto ""Matteucci""",41.952541779347,12.5367060506439,"Via delle Vigne Nuove 262",Roma,
"Istituto ""Matteucci""",41.9526576407855,12.5370303768464,"Via delle Vigne Nuove 262",Roma,
Municipio,41.87412299302,13.0643880411045,"Via della Chiesa, 7",Roiate,
Municipio,42.0318567432376,12.923967970858,"piazza Europa Unita, 1",Mandela,
"Biblioteca Comunale",41.9650437913287,12.7976503816146,"Via Tempio D' Ercole",Tivoli,Pubblici
"Centro Anziani ""Casa delle culture e delle generazioni""",41.8902789,12.5326709999999,"Via Isidoro di Carace, snc",Roma,
"Istituto Comprensivo Ardea 1",41.6080974520692,12.5425934121643,"Via Laurentina Km 32,500",Ardea,
"Istituto Comprensivo ",41.6080653640758,12.5428509042297,"Via Lazio, snc",Ardea,
"Tabaccheria Mille Idee",42.1413781,12.8041783,"Piazza Risorgimento, 39","Montorio Romano",
"Punto Informazioni Turistiche",41.7468693542336,12.6489337662705,"Via Massimo D' Azeglio","Castel Gandolfo",
"La Famiglia Market",42.2554986049398,12.5996244865082,"Piazza Umberto I, 7",Nazzano,
"Biblioteca Comunale",41.838194,12.8308964,"Piazza Indipendenza",Zagarolo,
"Istituto Comprensivo Ardea 3",41.615315,12.5160913,"Via Verona",Ardea,
"Centro Sportivo Vigor Perconti",41.9060913384074,12.5651117232788,"Via Grotta di Gregna, 100",Roma,
"Stardust Village",41.8187821118069,12.4454759385536,"Via di decima, 72",Roma,Pubblici
"Parco Appia Antica",41.8680789966397,12.5013847850419,"Via Appia Antica, 42",Roma,Pubblici
"Casa dell'Architettura",41.8977227777547,12.5028955019218,"Piazza Manfredo Fanti, 47",Roma,Pubblici
"Ristorante ""Le Papere""",42.1109582306293,12.1800579085983,"lungolago G. Argenti, 20",Bracciano,Privati
"Piazza Venezia",41.8959126958648,12.4825457355821,"Piazza Venezia",Roma,Pubblici
"Villa Leopardi - Centro anziani Fili D'argento",41.9259789068716,12.5217833521842,"Via Makallè, 9",Roma,Pubblici
Comune,41.933591131036,12.9934515005943,"Piazza degli Eroi",Gerano,
"Supermercato GESPAC Srl",41.850007,12.4912416,"Via Attilio Ambrosini, 183",Roma,Pubblici
"Municipio - Sala Consiliare",41.7291422,12.6589323000001,"Piazza della Costituente, 1","Albano Laziale",
Municipio,42.1400606996883,12.5402000190491,"Piazza San Luca, 1",Capena,
Municipio,42.1400527441818,12.5402590276474,"Piazza San Luca, 1",Capena,
"Biblioteca Comunale",42.1591803852094,12.237146909262,"Via B. Francesconi","Trevignano Romano",
Municipio,42.2285670398841,12.5971168423278,"Via Mazzini, 4",Nazzano,
"Circolo Sportivo Olgiata Sport Club ",42.0233463752264,12.3740582447052,"Via Guido Cantini, 4",Roma,
Municipio,42.1560343627434,12.2460900656067,"Piazza Vittorio Emanuele III, 1","Trevignano Romano",
"Museo Civico Etrusco Romano",42.1561282607318,12.2462809767212,"Piazza Vittorio Emanuele III, 1","Trevignano Romano",Pubblici
Municipio,42.2285615781248,12.5972455883606,"Via Mazzini, 4",Nazzano,
"Il Chiosco - Chalet del Lago",42.1560359466901,12.2450635616547,"Via della Rena, 10","Trevignano Romano",
"Bar dello Sport",41.8859663,13.1009676,"Piazza Castellana, 5",Affile,Privati
"Biblioteca Comunale",42.0994233,12.1758612,"Piazza dei Pasqualetti ",Bracciano,
Municipio,41.8839941799363,13.0971204662704,"Via Luigi Naddeo, 1",Affile,
"Istituto Comprensivo Statale Civitella S. Paolo - Palestra",42.1969276407974,12.5796279457118,"Via Umberto I","Civitella San Paolo",Pubblici
"Parco dei Monti Lucretili",42.0710411,12.7634035,"Via A. Petrocchi, 11","Palombara Sabina",Pubblici
"Ponte Milvio",41.9369363759865,12.4663810583359,"Piazzale Ponte Milvio",Roma,Pubblici
"Ponte Milvio",41.9369882523084,12.4662147613769,"Piazzale Ponte Milvio",Roma,Pubblici
"Ponte Milvio",41.9370600809923,12.4660967441803,"Piazzale Ponte Milvio",Roma,Pubblici
"CSA A.Talenti",41.9472158625174,12.5513941576721,"Via Renato Fucini, 265 bis",Roma,Pubblici
"Città Metropolitana di Roma Capitale",41.8174496383734,12.4563191515206,"Viale Giorgio Ribotta, 41",Roma,Pubblici
"Villa Pamphili - Centro anziani Bel Respiro",41.8818826770715,12.4412711656066,"Via Vitellia 104",Roma,Pubblici
"Villa Pamphili - Centro anziani Bel Respiro",41.8818629081191,12.4413006699058,"Via Vitellia 104",Roma,Pubblici
"Villa Pamphili - Centro anziani Bel Respiro",41.8818600839825,12.4412523901435,"Via Vitellia 104",Roma,Pubblici
Municipio,41.727529,12.8329308,"Piazza Sant'Eurosia, 1",Lariano,
"Istituto ""Sandro Pertini""",41.9620106594921,12.0680193527954,"Piazzale Nazario Sauro snc",Ladispoli,
"Ospedale San Filippo Neri - Rx Angiografia",41.9470790579695,12.4153292582664,"Via Giovanni Martinotti, 20",Roma,Pubblici
"Centro anziani Primavalle",41.9200994954138,12.4146649753416,"Via Ludovico Jacobini, 7",Roma,Pubblici
"Centro Anziani Torvajanica",41.6193991,12.4667254,"Via Gran Bretagna, 42",Pomezia,Pubblici
"Biblioteca Comunale",42.0346951507596,11.8635041920654,"Via Aurelia, 310","Santa Marinella",Pubblici
Municipio,41.8061135893148,12.6801616269836,"Piazza Marconi",Frascati,Pubblici
"Ospedale San Filippo Neri - sala d'attesa rx radiografia",41.9469434028158,12.4155894325409,"Via Martinotti, 20",Roma,Pubblici
"Stardust Village",41.8188517315759,12.4454303410004,"Via di decima, 72",Roma,Pubblici
"Istituto "" Farnesina """,41.9444084,12.4621669000001,"Via dei Giuochi Istmici 64",Roma,
"Bocca della Verità",41.8880215121803,12.4827963020607,"Piazza Bocca della Verità",Roma,Pubblici
"Bocca della Verità",41.8879049801445,12.4828387928681,"Piazza Bocca della Verità",Roma,Pubblici
"Bocca della Verità",41.8877683210747,12.4827077891632,"Piazza Bocca della Verità",Roma,Pubblici
"Istituto ""Maffeo Pantaleone""",41.8105974,12.6801829,"Via Brigida Postorino, 27",Frascati,
"Bocca della Verità",41.8878172243189,12.4825515787124,"Piazza Bocca della Verità",Roma,Pubblici
"Bocca della Verità",41.8881806372399,12.4824925701141,"Piazza Bocca della Verità",Roma,Pubblici
"Istituto ""Vallauri""",41.6764184517666,12.7767813748687,"Via Salvo D'Acquisto 37",Velletri,
Comune,41.8820824512941,13.0289378994751,"Piazza del Municipio, 9",Bellegra,
Municipio,41.9636810447459,12.7990571883606,"Piazza del Governo,1",Tivoli,Pubblici
"Centro Commerciale Euroma 2",41.8170854,12.4594755000001,"Viale Oceano Pacifico, 83",Roma,Pubblici
"Centro Commerciale Euroma 2",41.8167655609216,12.4597115343934,"Viale Oceano Pacifico, 83",Roma,
"Centro Commerciale Euroma 2",41.817053416164,12.4600763148194,"Viale Oceano Pacifico, 83",Roma,
"IFO Istituti Fisioterapici Ospitalieri",41.8023257011004,12.4502207289055,"Via Elio Chianesi, 53",Roma,Pubblici
"Casale ex Mulino",41.8652589562417,12.516536852848,"Via della Caffarella, 23",Roma,Pubblici
"Bar Casa Comune",41.9430011503533,12.083918777246,"Lungomare marina di palo laziale",Ladispoli,Privati
"Istituto Maffeo Pantaleoni - Sede Succursale",41.7969441,12.68269,"Via XXIV Maggio,73 ",Grottaferrata,
"ASL ROMA D VEGA",41.7274910667247,12.2936676337642,"Viale Vega, 3",Roma,
"ASL ROMA D PASSERONI",41.7287391208404,12.2997112481628,"Via Giancarlo Passeroni, 28",Roma,
"ASL ROMA D ACILIA",41.7845432971357,12.3800513091926,"Via Casal Bernocchi, 61",Roma,
"ASL ROMA D ACILIA",41.7845199001072,12.380126411045,"Via Casal Bernocchi, 61",Roma,
"ASL ROMA D QUADRELLI",41.8486559241793,12.4110995925903,"Largo Emilio Quadrelli, 5",Roma,
"ASL ROMA D OSTIA",41.7330776597309,12.2668015037049,"Lungomare Paolo Toscanelli, 230",Roma,
"ASL ROMA D VEGA",41.7275647302864,12.293540228836,"Viale Vega, 3",Roma,
"ASL ROMA D ORTI",41.7718269445999,12.2332566785736,"Via degli Orti, 10",Roma,
"ASL ROMA D FIUMICINO",41.7642297307415,12.238037635582,"Via Coni Zugna, 173",Roma,
"ASL ROMA D PALIDORO",41.9045631879669,12.1642904957703,"Via San Carlo in Palidoro, 10",Fiumicino,
"ASL ROMA D CONSOLATA",41.8768475500629,12.4218846729469,"Via della Consolata, 52",Roma,
"ASL ROMA D FREGENE",41.8592532,12.2044521,"Via della Pineta di Fregene, 76",Fiumicino,
"ASL ROMA D OSPEDALE GB GRASSI",41.727982456991,12.2999580113922,"Via Giancarlo Passeroni, 28",Roma,
"ASL ROMA D PASSERONI",41.7285029145638,12.2995234935318,"Via Giancarlo Passeroni, 28",Roma,
"ASL ROMA D RAMAZZINI",41.8631382,12.4511489,"Via Bernardino Ramazzini, 31",Roma,
"ASL Roma D",41.7641849712821,12.2381663816147,"Via Coni Zugna, 173",Fiumicino,
"ASL ROMA D OSTIA",41.7332425961639,12.2664528165329,"Lungomare Paolo Toscanelli, 230",Roma,
"Parco Arcobaleno - Biblioteca Sandro Onofri",41.7756763221198,12.3479692514511,"Via Umberto Lilloni,39",Roma,
"Municipio - Giardini",42.1491116079858,11.9376698913322,"Piazza Vittorio Veneto, 12",Tolfa,Pubblici
"Sede municipio, URP",41.8942084564684,12.5741740742744,"Via Prenestina, 510",Roma,Pubblici
"Istituto superiore per la conservazione ed il restauro - Biblioteca",41.8846107999689,12.4749771276474,"Via di San Michele, 23",Roma,Pubblici
"Acquario Romano",41.8979482407542,12.5027886074097,"Piazza Manfredo Fanti, 47",Roma,Pubblici
"Centro Per L'impiego",41.8559666718918,12.5797203312828,"Via Rolando Vignali, 14",Roma,Pubblici
"Scuderie Estensi",41.9609772508494,12.7969160178604,"Piazza Giuseppe Garibaldi",Tivoli,Pubblici
"Biblioteca Comunale",41.6513617377028,13.0404089288361,"Via Corte Vecchia, 27",Montelanico,Pubblici
"Parco Residence",41.8508731291819,13.1729220851806,"Via Icilio Mancini, 14","Arcinazzo Romano",Privati
"Vigili del Fuoco Capannelle",41.8274184068673,12.5607917658539,"Piazza Scilla, 2",Roma,Pubblici
"Easy Med2003 srl",41.8353887979949,12.5846107349182,"Via Falconara Albanese, 22",Roma,Pubblici
"Biblioteca Comunale Casa dei Bimbi",41.8519177612523,12.5923487187713,"Via Libero Leonardi, 48 ",Roma,Pubblici
"Stabilimento ""Ezio alla Torretta""",41.967549450879,12.0407015915405,"Lungomare dei Navigatori Etruschi, 3",Cerveteri,Privati
"Palazzo Valentini",41.8964940946378,12.4844541399987,"Via IV Novembre, 119",Roma,Pubblici
"Centro Anziani ""Castello della Cecchignola""",41.8146103289366,12.5071886177909,"Via Abigaille Zanetta, 69",Roma,Pubblici
"Ristorante Ai Spaghettari",41.8876090550168,12.4701125674591,"Piazza di San Cosimato, 58",Roma,Privati
"Bibliopoint Nomentano ",41.9524214413122,12.5425718108368,"Via della Bufalotta, 229",Roma,Pubblici
"Istituto ""Pacinotti"" (succursale)",41.9631359817638,12.5174940148194,"Via Gennaro Pasquariello, 27",Roma,Pubblici
"Trattoria ""Sor Paiolo""",41.8541133388177,13.1619606265472,"Via Sublacense, km 29,900","Arcinazzo Romano",Privati
"Acquario Romano",41.8977805376182,12.5026357214958,"Piazza Manfredo Fanti, 47",Roma,Pubblici
Comune,42.1006545063117,13.0063310108368,"Piazza delle Peschiera","Vivaro Romano",Pubblici
"Biblioteca Comunale",41.7776324722167,12.9161735508568,"Via del Broglio, 1",Valmontone,Pubblici
"C.S.A Mario Roma",41.8444479194908,12.4402374301635,"Via Piero Calamandrei, 95",Roma,Pubblici
"Parco Ceribelli - centro anziani ""Casale Ceribelli""",41.8462542884532,12.4870820750076,"Via Pico della Mirandola, 36",Roma,Pubblici
"Fori Imperiali",41.8947321539782,12.4854124285582,"Viale dei Fori Imperiali",Roma,Pubblici
"Largo Agosta",41.8917504461144,12.5578744755326,"Largo Agosta",Roma,Pubblici
"Scuola d'Arte Cinematografica ""Gian Maria Volonté""",41.8425453187574,12.4580640925903,"Via Greve, 61",Roma,Pubblici
"Piazza di Monte Citorio",41.9005458656862,12.4785667423279,"Piazza di Montecitorio, 121",Roma,Pubblici
"Biblioteca Comunale ""Alessandro Cialdi""     ",42.0947338342202,11.7909312583012,"Piazza Calamatta,18",Civitavecchia,Pubblici
"Biblioteca Comunale ""Alessandro Cialdi""",42.0946085434124,11.7911694221249,"Piazza Calamatta,18",Civitavecchia,Pubblici
"Parco Arcobaleno",42.054979215031,12.6183027693462,"via J.F. Kennedy, 47",Monterotondo,Pubblici
"Scuola Materna",41.8057233950355,12.7423060767038,"Via Antonio Rosmini, 5",MonteCompatri,Pubblici
"Istituto Comprensivo ""Borgoncini Duca""",41.8944646626607,12.4495205571473,"Via San Silverio, 5",Roma,Pubblici
"Parco Tor Sapienza, impianto comunale ""Michele Testa""",41.8992077906619,12.5897964174744,"Via Filippo De Pisis, 30",Roma,Pubblici
"Piazza Vittorio Emanuele",42.1085736858507,12.8306548515205,"Piazza Vittorio Emanuele",Monteflavio,Pubblici
