Denominazione,Latitudine,Longitudine,Indirizzo,Comune,Tipologia
Municipio,42.1367607116699,12.1036167144775,"Piazza del Campo","Canale Monterano",Pubblici
Comune,41.7282257080078,12.6589593887329,"Piazza Fagiolo","Albano Laziale",Pubblici
"Ale&Frank Caffè",41.9318531,12.5226395,"Piazza Addis Abeba, 21",Roma,Privati
"Ufficio Servizi Sociali",41.7864532972287,12.8857787490738,"Piazza Mazzini, 8",Labico,Pubblici
"Tucano Beach",41.5499596,12.5381949,"Lungomare dei greci, 23",Ardea,Privati
Comune,41.7475166320801,12.6503295898438,"Piazza della Liberta', 7","Castel Gandolfo",Pubblici
"Circolo Sottufficiali",41.8656768798828,12.5539131164551,"Via di Centocelle, 301",Roma,Pubblici
"Istituto “Michele Amari”",41.7927093505859,12.6184043884277,"Via Romana, 11 ",Ciampino,Pubblici
"Istituto ""Touschek""",41.794677734375,12.6643524169922,"Viale Kennedy snc",Grottaferrata,Pubblici
Cretone,42.0742247522497,12.7048200775544,"Via Alessandro Manzoni","Palombara Sabina",Pubblici
Municipio,42.1350746154785,12.738865852356,"Piazza Della Repubblica",Montelibretti,Pubblici
"Biblioteca Comunale di Sant'Oreste",42.2359411020768,12.5179326589302,"Piazza Cavalieri Caccia, 12",Sant'Oreste,Pubblici
"Istituto ""Pomezia""",41.4546089172363,12.6271772384644,"Via del Teatro Romano, 1 ","Anzio ",Pubblici
Dacrì,41.8007736206055,12.44753074646,"Via Elio Chianesi, 96",Roma,Privati
"Scuola Primaria Vulpiani",42.0151701191563,12.8924880001892,"Largo Cesare Battisti",Vicovaro,Pubblici
"Istituto ""Seneca""",41.9052734375,12.4266376495361,"Via Francesco Albergotti, 35",Roma,Pubblici
"Istituto ""Colonna Gatti""  sede centrale",41.449592590332,12.619683265686,"Via Filibeck, 2",Anzio,Pubblici
"Istituto ""d'Arte di Roma""",41.8590240478516,12.5679731369019,"Piazza dei decemveri, 12",Roma,Pubblici
"Istituto ""Charles Darwin""",41.8741989135742,12.5294904708862,"Via Tuscolana, 388",Roma,Pubblici
"Istituto ""Jean Piaget""",41.898738861084,12.5873994827271,"Via Giorgio de Chirico, 59",Roma,Pubblici
"Istituto ""G. B. Morgagni""",41.8779182434082,12.4538898468018,"Via Fonteiana,125",Roma,Pubblici
"Istituto ""Via di Villa Pamphili 86""",41.8777084350586,12.4557590484619,"Via di Villa Pamphili, 86",Roma,Pubblici
" Istituto ""Federico Caffe'""",41.879207611084,12.4543399810791,"Via Fonteiana, 111",Roma,Pubblici
"Istituto ""Pilo Albertelli"" ",41.8987045288086,12.4988613128662,"Via Daniele Manin, 72",Roma,Pubblici
"Istituto “Giorgio Ambrosoli""",41.8739242553711,12.6010856628418,"Via delle Alzavole, 25",Roma,Pubblici
"Istituto ""Cicerone""",41.818187713623,12.7152509689331,"Via Consalvi snc","Monte Porzio Catone",Pubblici
"Istituto ""Livia Bottardi""",41.908374786377,12.606297492981,"Via Filiberto Petiti, 97",Roma,Pubblici
"Istituto ""Bertrand Russell”",41.8858375549316,12.5121240615845,"Via la spezia, 21",Roma,Pubblici
"Istituto ""Duca D'aosta""",41.884076579874,12.5179836750031,"Via Taranto, 59",Roma,Pubblici
"Istituto ""Via Sommovigo""",41.9114952087402,12.5756855010986,"Via Amedeo Sommovigo, 40",Roma,Pubblici
"Istituto ""Da Norcia""",41.8903503417969,12.5588912963867,"Via Saracinesco, 18",Roma,Pubblici
"Istituto ""Europa-Virginia Woolf""",41.8883590698242,12.5277605056763,"Circonvallazione Casilina, 119",Roma,Pubblici
"Istituto ""Vittorio Lattanzio""",41.8895149230957,12.5480794906616,"Via teano, 223",Roma,Pubblici
"Istituto ""Europa-Virginia Woolf""",41.8878707885742,12.5601902008057,"Via Romolo Trinchieri, 49",Roma,Pubblici
"Istituto ""Da Norcia""",41.8901252746582,12.5572710037231,"Via Anagni, 24",Roma,Pubblici
"Istituto ""Gullace Talotta""",41.8604354858398,12.5680198669434,"Via Arrigo Solmi, 27",Roma,Pubblici
"Istituto ""Hertz""",41.8489456176758,12.5840091705322,"Via Walter Procaccini, 70",Roma,Pubblici
"Istituto ""Lucio Lombardo Radice""",41.8469130231617,12.5864521166718,"Piazza Ettore Viola, 6",Roma,Pubblici
"Istituto ""Lucio Lombardo Radice""",41.8295249938965,12.6175556182861,"Via San Basile ",Roma,Pubblici
"Istituto ""Artusi""",41.8664855957031,12.5518426895142,"Via Sestio Menas, 67",Roma,Pubblici
